po_no,site_num,request_date
839152,1106,2019-07-09
839363,306,2019-07-09
839135,625,2019-07-09
839121,1117,2019-07-09
839136,611,2019-07-09
839144,620,2019-07-09
839110,809,2019-07-09
839111,810,2019-07-09
839150,819,2019-07-09
839129,920,2019-07-09
839137,823,2019-07-09
839176,1412,2019-07-09
839165,1411,2019-07-09
839162,1606,2019-07-09
839229,1805,2019-07-09
839112,1114,2019-07-09
839232,1821,2019-07-09
839164,1618,2019-07-09
839233,1610,2019-07-09
839172,1403,2019-07-09
839160,1813,2019-07-09
839159,1821,2019-07-09
839158,1605,2019-07-09
839173,1409,2019-07-09
839161,1405,2019-07-09
839215,626,2019-07-09
839220,619,2019-07-09
839171,1811,2019-07-09
839170,1604,2019-07-09
839175,1607,2019-07-09
839204,1812,2019-07-09
839174,1819,2019-07-09
839195,1827,2019-07-09
839167,1406,2019-07-09
839166,1404,2019-07-09
839181,1803,2019-07-09
839163,1603,2019-07-09
839169,1806,2019-07-09
839066,210,2019-07-07
839090,609,2019-07-07
839087,309,2019-07-07
839085,315,2019-07-07
839083,803,2019-07-07
839060,216,2019-07-07
839081,1803,2019-07-07
839064,318,2019-07-07
839061,820,2019-07-07
839063,1119,2019-07-07
839058,822,2019-07-07
839062,806,2019-07-07
838970,604,2019-07-06
838987,805,2019-07-06
838964,909,2019-07-06
838975,222,2019-07-06
838977,220,2019-07-06
838965,624,2019-07-06
838971,305,2019-07-06
839039,215,2019-07-06
838962,219,2019-07-06
838974,612,2019-07-06
838969,824,2019-07-06
838950,619,2019-07-06
838966,209,2019-07-06
838959,311,2019-07-06
838956,623,2019-07-06
838968,308,2019-07-06
838952,610,2019-07-06
838961,921,2019-07-06
838958,826,2019-07-06
838972,816,2019-07-06
839038,229,2019-07-06
838954,605,2019-07-06
839032,1823,2019-07-06
838948,221,2019-07-06
838967,230,2019-07-06
838978,607,2019-07-06
839015,311,2019-07-06
839008,924,2019-07-06
838947,628,2019-07-06
838990,1809,2019-07-06
838914,214,2019-07-05
838934,1504,2019-07-05
838921,804,2019-07-05
838907,807,2019-07-05
838894,813,2019-07-05
838883,812,2019-07-05
838897,905,2019-07-05
838760,1403,2019-07-04
838732,604,2019-07-04
838707,1120,2019-07-04
838744,1103,2019-07-05
838719,805,2019-07-04
838718,226,2019-07-04
838737,617,2019-07-04
838727,827,2019-07-04
838742,804,2019-07-04
838878,1116,2019-07-04
838717,1105,2019-07-04
838736,612,2019-07-04
838875,314,2019-07-04
838869,211,2019-07-04
838871,828,2019-07-04
838730,808,2019-07-04
838745,205,2019-07-04
838705,810,2019-07-04
838835,306,2019-07-04
838861,913,2019-07-04
838860,809,2019-07-04
838840,919,2019-07-04
838852,920,2019-07-04
838850,821,2019-07-04
838728,1123,2019-07-04
838843,626,2019-07-04
838838,620,2019-07-04
838825,1803,2019-07-04
838738,819,2019-07-04
838725,230,2019-07-04
838734,213,2019-07-04
838753,1411,2019-07-04
838814,1406,2019-07-04
838746,1605,2019-07-04
838743,818,2019-07-04
838750,1606,2019-07-04
838751,1603,2019-07-04
838706,1114,2019-07-04
838799,1812,2019-07-04
838747,1821,2019-07-04
838776,912,2019-07-04
838793,231,2019-07-04
838756,1832,2019-07-04
838757,1806,2019-07-04
838709,619,2019-07-04
838748,1813,2019-07-04
838778,207,2019-07-04
838759,1811,2019-07-04
838769,1813,2019-07-04
838749,1405,2019-07-04
838450,1118,2019-07-03
838485,212,2019-07-03
838449,910,2019-07-03
838474,214,2019-07-03
838700,604,2019-07-03
838457,623,2019-07-03
838470,624,2019-07-03
838694,625,2019-07-03
838465,921,2019-07-03
838451,924,2019-07-03
838690,623,2019-07-03
838687,622,2019-07-03
838452,610,2019-07-03
838460,826,2019-07-03
838635,1119,2019-07-03
838459,609,2019-07-03
838678,1104,2019-07-03
838483,803,2019-07-03
838481,318,2019-07-03
838643,204,2019-07-03
838673,304,2019-07-03
838662,1106,2019-07-03
838464,820,2019-07-03
838653,306,2019-07-03
838670,1116,2019-07-03
838472,235,2019-07-03
838492,818,2019-07-03
838458,626,2019-07-03
838660,814,2019-07-03
838479,816,2019-07-03
838480,213,2019-07-03
838471,209,2019-07-03
838490,607,2019-07-03
838469,807,2019-07-03
838574,1123,2019-07-03
838455,813,2019-07-03
838484,923,2019-07-03
838463,217,2019-07-03
838611,605,2019-07-03
838509,1517,2019-07-03
838577,823,2019-07-03
838506,1827,2019-07-03
838499,1522,2019-07-03
838498,1503,2019-07-03
838500,1415,2019-07-03
838496,1816,2019-07-03
838503,1523,2019-07-03
838512,1809,2019-07-03
838513,1803,2019-07-03
838508,1416,2019-07-03
838501,1815,2019-07-03
838515,1817,2019-07-03
838497,1812,2019-07-03
838486,207,2019-07-03
838511,1814,2019-07-03
838504,1504,2019-07-03
838505,1805,2019-07-03
838487,208,2019-07-03
838524,1829,2019-07-03
838514,1810,2019-07-03
838510,1511,2019-07-03
838528,626,2019-07-03
838495,1510,2019-07-03
838264,1115,2019-07-08
838285,611,2019-07-02
838272,905,2019-07-02
838281,226,2019-07-02
838440,1108,2019-07-02
838277,908,2019-07-02
838292,827,2019-07-02
838268,919,2019-07-02
838270,1104,2019-07-02
838287,911,2019-07-02
838265,627,2019-07-02
838283,228,2019-07-02
838436,925,2019-07-02
838435,229,2019-07-02
838271,206,2019-07-02
838262,811,2019-07-02
838261,912,2019-07-02
838295,808,2019-07-02
838266,614,2019-07-02
838280,1105,2019-07-02
838420,211,2019-07-02
838290,828,2019-07-02
838276,821,2019-07-02
838284,625,2019-07-02
838304,804,2019-07-02
838291,603,2019-07-02
838289,313,2019-07-02
838259,810,2019-07-02
838263,1107,2019-07-02
838258,809,2019-07-02
838301,1106,2019-07-02
838279,304,2019-07-02
838306,205,2019-07-02
838293,620,2019-07-02
838298,617,2019-07-02
838414,306,2019-07-02
838269,1117,2019-07-02
838300,622,2019-07-02
838409,314,2019-07-02
838407,1803,2019-07-02
838296,814,2019-07-02
838305,1103,2019-07-02
838406,204,2019-07-02
838297,213,2019-07-02
838299,819,2019-07-02
838389,1105,2019-07-02
838286,823,2019-07-02
838278,920,2019-07-02
838325,1412,2019-07-02
838364,1610,2019-07-02
838309,1813,2019-07-02
838366,1803,2019-07-02
838324,1607,2019-07-02
838318,1806,2019-07-02
838367,1806,2019-07-02
838308,1821,2019-07-02
838313,1618,2019-07-02
838321,1403,2019-07-02
838322,1409,2019-07-02
838356,1105,2019-07-02
838353,1118,2019-07-01
838351,231,2019-07-02
838317,1832,2019-07-02
838316,1406,2019-07-02
838307,1605,2019-07-02
838312,1603,2019-07-02
838311,1606,2019-07-02
838319,1604,2019-07-02
838314,1411,2019-07-02
838315,1404,2019-07-02
838260,1114,2019-07-02
838310,1405,2019-07-02
838320,1811,2019-07-02
838323,1819,2019-07-02
841183,909,2019-07-21
841163,216,2019-07-21
841166,1119,2019-07-21
841181,609,2019-07-21
841180,309,2019-07-21
841167,318,2019-07-21
841164,820,2019-07-21
841165,806,2019-07-21
841169,210,2019-07-21
841162,204,2019-07-21
841161,822,2019-07-21
841019,1120,2019-07-20
841032,909,2019-07-20
841030,219,2019-07-20
841147,215,2019-07-20
841033,624,2019-07-20
841045,220,2019-07-20
841038,305,2019-07-20
841028,311,2019-07-20
841041,612,2019-07-20
841047,315,2019-07-20
841037,824,2019-07-20
841042,222,2019-07-20
841034,209,2019-07-20
841159,208,2019-07-20
841036,308,2019-07-20
841021,924,2019-07-20
841026,626,2019-07-20
841020,619,2019-07-20
841024,922,2019-07-20
841148,610,2019-07-20
841039,816,2019-07-20
841046,607,2019-07-20
841029,921,2019-07-20
841023,605,2019-07-20
841140,1116,2019-07-20
841025,623,2019-07-20
841017,628,2019-07-20
841018,221,2019-07-20
841087,230,2019-07-20
841114,217,2019-07-20
841093,207,2019-07-20
841095,1829,2019-07-20
841035,230,2019-07-20
841027,826,2019-07-20
841052,1812,2019-07-20
840819,809,2019-07-19
840820,812,2019-07-19
840834,905,2019-07-19
840827,1118,2019-07-19
840832,919,2019-07-19
840847,225,2019-07-19
841010,609,2019-07-19
840849,314,2019-07-19
840836,606,2019-07-19
840823,912,2019-07-19
840833,1117,2019-07-19
840842,911,2019-07-19
840854,212,2019-07-19
841004,803,2019-07-19
840826,1115,2019-07-19
840986,211,2019-07-19
840837,908,2019-07-19
840996,607,2019-07-19
840829,614,2019-07-19
840859,1108,2019-07-19
840846,1123,2019-07-19
840839,1105,2019-07-19
840831,813,2019-07-19
840990,925,2019-07-19
840848,620,2019-07-19
840844,235,2019-07-19
840850,214,2019-07-19
840851,229,2019-07-19
840966,306,2019-07-19
840838,920,2019-07-19
840825,910,2019-07-19
840967,614,2019-07-19
840841,228,2019-07-19
840845,828,2019-07-19
840958,913,2019-07-19
840862,1816,2019-07-19
840931,617,2019-07-19
840865,1522,2019-07-19
840878,1809,2019-07-19
840874,1416,2019-07-19
840875,1517,2019-07-19
840822,1114,2019-07-19
840864,1503,2019-07-19
840869,1523,2019-07-19
840881,1817,2019-07-19
840863,1812,2019-07-19
840867,1815,2019-07-19
840877,1814,2019-07-19
840866,1415,2019-07-19
840843,807,2019-07-19
840879,1803,2019-07-19
840887,1829,2019-07-19
840873,1527,2019-07-19
840901,1504,2019-07-19
840880,1810,2019-07-19
840888,1510,2019-07-19
840876,1511,2019-07-19
840871,1805,2019-07-19
840646,611,2019-07-18
840628,628,2019-07-18
840666,804,2019-07-18
840657,604,2019-07-18
840810,627,2019-07-18
840668,1103,2019-07-19
840643,226,2019-07-18
840649,303,2019-07-18
840644,805,2019-07-18
840638,1104,2019-07-18
840645,625,2019-07-18
840639,206,2019-07-18
840637,1117,2019-07-18
840653,827,2019-07-18
840756,211,2019-07-18
840632,811,2019-07-18
840642,1105,2019-07-18
840654,1119,2019-07-18
840797,622,2019-07-18
840650,313,2019-07-18
840655,808,2019-07-18
840796,623,2019-07-18
840634,619,2019-07-18
840664,1106,2019-07-18
840656,814,2019-07-18
840660,318,2019-07-18
840793,304,2019-07-18
840669,205,2019-07-18
840705,821,2019-07-18
840771,605,2019-07-18
840667,818,2019-07-18
840777,306,2019-07-18
840652,603,2019-07-18
840627,809,2019-07-18
840640,204,2019-07-18
840745,1123,2019-07-18
840651,230,2019-07-18
840661,612,2019-07-18
840760,1827,2019-07-18
840663,819,2019-07-18
840658,1116,2019-07-18
840648,806,2019-07-18
840681,1806,2019-07-18
840730,823,2019-07-18
840728,626,2019-07-18
840676,1618,2019-07-18
840726,1610,2019-07-18
840684,1403,2019-07-18
840686,1819,2019-07-18
840672,1813,2019-07-18
840688,1412,2019-07-18
840670,1605,2019-07-18
840685,1409,2019-07-18
840682,1604,2019-07-18
840702,1405,2019-07-18
840674,1606,2019-07-18
840711,1104,2019-07-18
840680,1832,2019-07-18
840714,1823,2019-07-18
840683,1811,2019-07-18
840671,1821,2019-07-18
840678,1404,2019-07-18
840715,1803,2019-07-18
840677,1411,2019-07-18
840708,1107,2019-07-18
840630,1114,2019-07-18
840679,1406,2019-07-18
840631,1120,2019-07-18
840700,605,2019-07-18
840687,1607,2019-07-18
840675,1603,2019-07-18
840568,617,2019-07-17
840626,922,2019-07-17
840625,616,2019-07-17
840620,822,2019-07-17
840621,219,2019-07-17
840617,1118,2019-07-17
840555,216,2019-07-17
840619,208,2019-07-17
840610,626,2019-07-17
840612,923,2019-07-17
840611,609,2019-07-17
840613,210,2019-07-17
840592,909,2019-07-17
840609,623,2019-07-17
840607,826,2019-07-17
840584,311,2019-07-17
840605,308,2019-07-17
840604,1108,2019-07-17
840600,803,2019-07-17
840599,212,2019-07-17
840598,235,2019-07-17
840586,222,2019-07-17
840590,607,2019-07-17
840531,305,2019-07-17
840588,217,2019-07-17
840583,229,2019-07-17
840564,215,2019-07-17
840562,309,2019-07-17
840561,318,2019-07-17
840581,315,2019-07-17
840580,220,2019-07-17
840578,610,2019-07-17
840540,209,2019-07-17
840573,910,2019-07-17
840563,816,2019-07-17
840567,921,2019-07-17
840565,624,2019-07-17
840560,221,2019-07-17
840546,225,2019-07-17
840545,610,2019-07-17
840533,207,2019-07-17
840539,924,2019-07-17
840502,1103,2019-07-17
840477,1415,2019-07-17
840476,1816,2019-07-17
840491,1511,2019-07-17
840430,1522,2019-07-17
840424,1523,2019-07-17
840482,1416,2019-07-17
840472,1504,2019-07-17
840463,1503,2019-07-17
840474,1812,2019-07-17
840453,813,2019-07-17
840422,1829,2019-07-17
840454,1817,2019-07-17
840462,1809,2019-07-17
840461,1803,2019-07-17
840442,818,2019-07-17
840435,1815,2019-07-17
840427,1814,2019-07-17
840447,1810,2019-07-17
840439,1517,2019-07-17
840440,1510,2019-07-17
840432,1805,2019-07-17
840421,611,2019-07-16
840420,905,2019-07-16
840419,919,2019-07-16
840415,1115,2019-07-16
840417,1104,2019-07-16
840410,620,2019-07-16
840389,811,2019-07-16
840368,314,2019-07-16
840409,226,2019-07-16
840413,606,2019-07-16
840359,912,2019-07-16
840407,606,2019-07-16
840404,603,2019-07-16
840307,303,2019-07-17
840374,206,2019-07-16
840396,627,2019-07-16
840397,908,2019-07-16
840395,814,2019-07-16
840392,624,2019-07-16
840394,622,2019-07-16
840390,911,2019-07-16
840342,821,2019-07-16
840387,313,2019-07-16
840385,625,2019-07-16
840345,1105,2019-07-16
840362,211,2019-07-16
840366,1106,2019-07-16
840380,205,2019-07-16
840378,827,2019-07-16
840379,304,2019-07-16
840363,306,2019-07-16
840367,1803,2019-07-16
840353,1103,2019-07-16
840364,820,2019-07-16
840355,808,2019-07-16
840357,204,2019-07-16
840356,804,2019-07-16
840348,809,2019-07-16
840335,603,2019-07-16
840325,819,2019-07-16
840314,1114,2019-07-16
840319,828,2019-07-16
840308,213,2019-07-16
840313,1104,2019-07-16
840301,823,2019-07-16
840298,913,2019-07-16
840296,1821,2019-07-16
840229,1618,2019-07-16
840292,1811,2019-07-16
840282,1819,2019-07-16
840280,1813,2019-07-16
840223,1405,2019-07-16
840288,1406,2019-07-16
840277,925,2019-07-16
840283,623,2019-07-16
840245,1832,2019-07-16
840266,1606,2019-07-16
840278,1411,2019-07-16
840276,1610,2019-07-16
840264,1604,2019-07-16
840265,1409,2019-07-16
840263,1817,2019-07-15
840254,231,2019-07-16
840258,1607,2019-07-16
840231,1605,2019-07-16
840240,1806,2019-07-16
840232,1404,2019-07-16
840233,805,2019-07-16
840228,1603,2019-07-16
840224,1827,2019-07-16
842832,809,2019-08-01
842836,1120,2019-08-01
842840,619,2019-08-01
842869,617,2019-08-01
842860,827,2019-08-01
842874,804,2019-08-01
842856,303,2019-08-01
842852,625,2019-08-01
842844,1117,2019-08-01
842845,1104,2019-08-01
842837,811,2019-08-01
843020,811,2019-08-01
842864,604,2019-08-01
842833,628,2019-08-01
842871,622,2019-08-01
842857,313,2019-08-01
842862,1119,2019-08-01
842853,611,2019-08-01
842849,1105,2019-08-01
842875,818,2019-08-01
843014,808,2019-08-01
842851,805,2019-08-01
842867,318,2019-08-01
842922,821,2019-08-01
842846,206,2019-08-01
842872,1106,2019-08-01
842876,1103,2019-08-01
842863,814,2019-08-01
842839,627,2019-08-01
842865,1116,2019-08-01
842843,605,2019-08-01
842842,306,2019-08-01
842877,205,2019-08-01
842859,603,2019-08-01
842848,304,2019-08-01
842855,806,2019-08-01
842976,211,2019-08-01
842847,204,2019-08-01
842861,1123,2019-08-01
842985,1114,2019-08-01
842835,1114,2019-08-01
842841,614,2019-08-01
842870,819,2019-08-01
842868,612,2019-08-01
842858,230,2019-08-01
842854,823,2019-08-01
842889,1806,2019-08-01
842943,1412,2019-08-01
842940,1403,2019-08-01
842884,1618,2019-08-01
842892,1403,2019-08-01
842929,1610,2019-08-01
842880,1813,2019-08-01
842936,1803,2019-08-01
842931,1803,2019-08-01
842935,1607,2019-08-01
842895,1607,2019-08-01
842891,1811,2019-08-01
842882,1606,2019-08-01
842893,1409,2019-08-01
842888,1832,2019-08-01
842890,1604,2019-08-01
842879,1821,2019-08-01
842885,1411,2019-08-01
842894,1819,2019-08-01
842898,1404,2019-08-01
842887,1406,2019-08-01
842883,1603,2019-08-01
842881,1405,2019-08-01
842634,216,2019-07-31
842628,922,2019-07-31
842650,229,2019-07-31
842629,623,2019-07-31
842622,1118,2019-07-31
842640,909,2019-07-31
842633,311,2019-07-31
842636,820,2019-07-31
842630,626,2019-07-31
842647,308,2019-07-31
842826,220,2019-07-31
842638,219,2019-07-31
842632,826,2019-07-31
842648,824,2019-07-31
842663,210,2019-07-31
842655,803,2019-07-31
842637,921,2019-07-31
842642,624,2019-07-31
842664,1108,2019-07-31
842644,235,2019-07-31
842623,924,2019-07-31
842659,309,2019-07-31
842660,607,2019-07-31
842625,616,2019-07-31
842631,609,2019-07-31
842654,222,2019-07-31
842653,318,2019-07-31
842624,610,2019-07-31
842649,305,2019-07-31
842643,209,2019-07-31
842656,212,2019-07-31
842789,623,2019-07-31
842627,813,2019-07-31
842773,215,2019-07-31
842651,816,2019-07-31
842620,221,2019-07-31
842662,818,2019-07-31
842657,207,2019-07-31
842621,910,2019-07-31
842661,315,2019-07-31
842635,217,2019-07-31
842646,214,2019-07-31
842669,1522,2019-07-31
842668,1503,2019-07-31
842626,822,2019-07-31
842658,208,2019-07-31
842678,1416,2019-07-31
842689,1829,2019-07-31
842676,1827,2019-07-31
842671,1815,2019-07-31
842682,1809,2019-07-31
842677,1527,2019-07-31
842673,1523,2019-07-31
842679,1517,2019-07-31
842681,1814,2019-07-31
842685,1817,2019-07-31
842665,1510,2019-07-31
842666,1816,2019-07-31
842667,1812,2019-07-31
842675,1805,2019-07-31
842670,1415,2019-07-31
842697,1504,2019-07-31
842680,1511,2019-07-31
842684,1810,2019-07-31
842683,1803,2019-07-31
842410,809,2019-07-30
842437,611,2019-07-30
842445,620,2019-07-30
842420,919,2019-07-30
842422,1104,2019-07-30
842439,911,2019-07-30
842615,912,2019-07-30
842417,627,2019-07-30
842597,314,2019-07-30
842457,1103,2019-07-30
842416,1115,2019-07-30
842424,905,2019-07-30
842429,908,2019-07-30
842452,622,2019-07-30
842433,226,2019-07-30
842440,303,2019-07-31
842415,1107,2019-07-30
842432,1105,2019-07-30
842447,808,2019-07-30
842456,804,2019-07-30
842436,625,2019-07-30
842423,206,2019-07-30
842453,1106,2019-07-30
842426,606,2019-07-30
842601,211,2019-07-30
842604,1529,2019-07-30
842414,811,2019-07-30
842428,821,2019-07-30
842448,814,2019-07-30
842431,304,2019-07-30
842441,313,2019-07-30
842458,205,2019-07-30
842421,1117,2019-07-30
842427,204,2019-07-30
842449,213,2019-07-30
842443,603,2019-07-30
842435,228,2019-07-30
842582,1803,2019-07-30
842442,828,2019-07-30
842451,819,2019-07-30
842419,306,2019-07-30
842450,617,2019-07-30
842418,614,2019-07-30
842438,823,2019-07-30
842557,626,2019-07-30
842477,1412,2019-07-30
842466,1411,2019-07-30
842430,920,2019-07-30
842550,607,2019-07-30
842476,1607,2019-07-30
842460,1821,2019-07-30
842544,231,2019-07-30
842465,1618,2019-07-30
842473,1403,2019-07-30
842534,1610,2019-07-30
842471,1604,2019-07-30
842532,1105,2019-07-30
842469,1832,2019-07-30
842461,1813,2019-07-30
842472,1811,2019-07-30
842463,1606,2019-07-30
842474,1409,2019-07-30
842459,1605,2019-07-30
842493,1104,2019-07-30
842412,1114,2019-07-30
842467,1404,2019-07-30
842468,1406,2019-07-30
842462,1405,2019-07-30
842470,1806,2019-07-30
842475,1819,2019-07-30
842464,1603,2019-07-30
842390,810,2019-07-29
842395,805,2019-07-29
842384,604,2019-07-28
842383,820,2019-07-28
842382,204,2019-07-28
842381,803,2019-07-28
842367,216,2019-07-28
842346,1119,2019-07-28
842379,626,2019-07-28
842380,609,2019-07-28
842377,222,2019-07-28
842352,309,2019-07-28
842378,220,2019-07-28
842358,909,2019-07-28
842372,612,2019-07-28
842371,920,2019-07-28
842370,623,2019-07-28
842365,1803,2019-07-28
842364,210,2019-07-28
842360,219,2019-07-28
842363,1806,2019-07-28
842348,305,2019-07-28
842359,318,2019-07-28
842356,822,2019-07-28
842354,624,2019-07-28
842293,215,2019-07-27
842302,824,2019-07-27
842260,209,2019-07-27
842342,311,2019-07-27
842337,308,2019-07-27
842335,826,2019-07-27
842336,619,2019-07-27
842334,610,2019-07-27
842280,922,2019-07-27
842330,315,2019-07-27
842326,921,2019-07-27
842325,924,2019-07-27
842322,923,2019-07-27
842317,623,2019-07-27
842315,816,2019-07-27
842310,605,2019-07-27
842306,221,2019-07-27
842294,1803,2019-07-27
842292,1116,2019-07-27
842285,607,2019-07-27
842282,1803,2019-07-27
842270,207,2019-07-27
842255,230,2019-07-27
842240,1832,2019-07-27
842228,1829,2019-07-27
842223,1812,2019-07-27
842018,226,2019-07-26
841998,812,2019-07-26
842009,813,2019-07-26
841997,809,2019-07-26
842012,905,2019-07-26
842033,212,2019-07-26
842023,235,2019-07-26
842027,620,2019-07-26
842219,609,2019-07-26
842010,919,2019-07-26
842026,225,2019-07-26
842005,1118,2019-07-26
842021,911,2019-07-26
842028,314,2019-07-26
842214,1117,2019-07-26
842038,1108,2019-07-26
