"","warehouse","site_no","po_no","mfg_cd","description","eaches_qty","date"
"98",701,1607,852118,"024405P2","GreenSkirtP2",4,"09302019"
"99",701,1607,852118,NA,NA,4,"09302019"
"100",701,1610,852108,"024009P10","OrangeLeggingsP10",3,"09302019"
"101",701,1610,852108,"023606P10","YellowBlouseP10",3,"09302019"
"102",701,1610,852108,"024205P8","GreenCasualJacketP8",23,"09302019"
"103",701,1618,852106,"023406P0","YellowDressP0",7,"09302019"
"104",701,1618,852106,NA,NA,4,"09302019"
"105",701,1618,852106,"024205P8","GreenCasualJacketP8",40,"09302019"
"106",701,1618,852106,"024210P6","TanCasualJacketP6",2,"09302019"
"107",701,1618,852106,"024003P2","BlackLeggingsP2",2,"09302019"
"108",701,1806,852112,"024210P8","TanCasualJacketP8",8,"09302019"
"109",701,1806,852112,"024406P8","YellowSkirtP8",3,"09302019"
"110",701,1806,852112,"024407P0","PurpleSkirtP0",12,"09302019"
"111",701,1806,852112,"024204P0","BlueCasualJacketP0",8,"09302019"
"112",701,1806,852112,"023606P10","YellowBlouseP10",3,"09302019"
"113",701,1806,852112,"024403P6","BlackSkirtP6",1,"09302019"
"114",701,1806,852112,"023803P6","BlackSlacksP6",8,"09302019"
"115",701,1806,852112,NA,NA,4,"09302019"
"116",701,1806,852112,"023808P4","PinkSlacksP4",1,"09302019"
"117",701,1806,852112,"024010P2","TanLeggingsP2",4,"09302019"
"118",701,1806,852112,"024204P10","BlueCasualJacketP10",4,"09302019"
"119",701,1806,852112,"024205P0","GreenCasualJacketP0",9,"09302019"
"120",701,1806,852112,"024201P4","RedCasualJacketP4",7,"09302019"
"121",701,1806,852112,"024003P10","BlackLeggingsP10",4,"09302019"
"122",701,1806,852112,"024210P6","TanCasualJacketP6",2,"09302019"
"123",701,1811,852114,"024009P4","OrangeLeggingsP4",3,"09302019"
"124",701,1811,852114,"024210P8","TanCasualJacketP8",4,"09302019"
"125",701,1811,852114,"024210P10","TanCasualJacketP10",4,"09302019"
"126",701,1811,852114,"023407P10","PurpleDressP10",4,"09302019"
"127",701,1811,852114,"023403P8","BlackDressP8",4,"09302019"
"128",701,1811,852114,"024406P10","YellowSkirtP10",2,"09302019"
"129",701,1811,852114,"023803P8","BlackSlacksP8",3,"09302019"
"130",701,1811,852114,"024402P6","WhiteSkirtP6",4,"09302019"
"131",701,1811,852114,"023807P10","PurpleSlacksP10",4,"09302019"
"132",701,1811,852114,"023808P10","PinkSlacksP10",1,"09302019"
"133",701,1811,852114,"024201P6","RedCasualJacketP6",4,"09302019"
"134",701,1811,852114,"024601P2","RedCottonTeeP2",1,"09302019"
"135",701,1813,852102,"024405P6","GreenSkirtP6",4,"09302019"
"136",701,1813,852102,"023803P6","BlackSlacksP6",8,"09302019"
"137",701,1813,852102,"024602P4","WhiteCottonTeeP4",4,"09302019"
"138",701,1813,852102,"024201P4","RedCasualJacketP4",4,"09302019"
"139",701,1819,852117,"024210P8","TanCasualJacketP8",4,"09302019"
"140",701,1819,852117,"024210P10","TanCasualJacketP10",2,"09302019"
"141",701,1819,852117,"024405P6","GreenSkirtP6",1,"09302019"
"142",701,1819,852117,NA,NA,1,"09302019"
"143",701,1821,852101,"024009P4","OrangeLeggingsP4",3,"09302019"
"144",701,1821,852101,"023405P0","GreenDressP0",4,"09302019"
"145",701,1821,852101,"023402P6","WhiteDressP6",1,"09302019"
"146",701,1821,852101,"023403P10","BlackDressP10",16,"09302019"
"147",701,1821,852101,"024407P10","PurpleSkirtP10",6,"09302019"
"148",701,1821,852101,"024410P2","TanSkirtP2",3,"09302019"
"149",701,1821,852101,"024204P0","BlueCasualJacketP0",4,"09302019"
"150",701,1821,852101,"023806P8","YellowSlacksP8",4,"09302019"
"151",701,1821,852101,"023806P10","YellowSlacksP10",2,"09302019"
"152",701,1821,852101,NA,NA,8,"09302019"
"153",701,1821,852101,"023808P10","PinkSlacksP10",4,"09302019"
"154",701,1821,852101,NA,NA,32,"09302019"
"155",701,1821,852101,"024403P8","BlackSkirtP8",4,"09302019"
"156",701,1821,852101,"024010P2","TanLeggingsP2",8,"09302019"
"157",701,1821,852101,"024201P0","RedCasualJacketP0",9,"09302019"
"158",701,1821,852101,"024205P0","GreenCasualJacketP0",9,"09302019"
"159",701,1821,852101,"024201P2","RedCasualJacketP2",8,"09302019"
"160",701,1821,852101,"024201P4","RedCasualJacketP4",5,"09302019"
"161",701,1821,852101,"024401P8","RedSkirtP8",4,"09302019"
"162",701,1821,852101,NA,NA,4,"09302019"
"163",701,1821,852101,"024001P8","RedLeggingsP8",12,"09302019"
"164",701,1821,852101,"024601P2","RedCottonTeeP2",14,"09302019"
"165",701,1832,852111,"023803P6","BlackSlacksP6",8,"09302019"
"166",701,1832,852111,"024201P0","RedCasualJacketP0",6,"09302019"
"167",7501,204,852067,"024410P8","TanSkirtP8",32,"09302019"
"168",7501,204,852067,"024407P4","PurpleSkirtP4",19,"09302019"
"169",7501,204,852067,"023606P8","YellowBlouseP8",4,"09302019"
"170",7501,204,852067,"023809P0","OrangeSlacksP0",1,"09302019"
"171",7501,205,852099,"024606P8","YellowCottonTeeP8",1,"09302019"
"172",7501,205,852099,"024001P10","RedLeggingsP10",4,"09302019"
"173",7501,206,852063,"024009P4","OrangeLeggingsP4",9,"09302019"
"174",7501,206,852063,"023401P0","RedDressP0",4,"09302019"
"175",7501,206,852063,"024210P8","TanCasualJacketP8",8,"09302019"
"176",7501,206,852063,"024210P10","TanCasualJacketP10",9,"09302019"
"177",7501,206,852063,"023405P0","GreenDressP0",4,"09302019"
"178",7501,206,852063,"023407P0","PurpleDressP0",4,"09302019"
"179",7501,206,852063,"023407P10","PurpleDressP10",4,"09302019"
"180",7501,206,852063,"023408P0","PinkDressP0",11,"09302019"
"181",7501,206,852063,"023410P2","TanDressP2",4,"09302019"
"182",7501,206,852063,"024407P0","PurpleSkirtP0",8,"09302019"
"183",7501,206,852063,"024406P10","YellowSkirtP10",6,"09302019"
"184",7501,206,852063,"024410P8","TanSkirtP8",8,"09302019"
"185",7501,206,852063,"024407P2","PurpleSkirtP2",8,"09302019"
"186",7501,206,852063,"024407P4","PurpleSkirtP4",9,"09302019"
"187",7501,206,852063,"024601P00","RedCottonTeeP00",8,"09302019"
"188",7501,206,852063,"023606P8","YellowBlouseP8",4,"09302019"
"189",7501,206,852063,"023809P2","OrangeSlacksP2",8,"09302019"
"190",7501,206,852063,"023610P6","TanBlouseP6",4,"09302019"
"191",7501,206,852063,"023808P6","PinkSlacksP6",8,"09302019"
"192",7501,208,852095,"024009P4","OrangeLeggingsP4",9,"09302019"
"193",7501,208,852095,"024602P00","WhiteCottonTeeP00",9,"09302019"
"194",7501,211,852096,"023602P6","WhiteBlouseP6",4,"09302019"
"195",7501,211,852096,"024406P10","YellowSkirtP10",16,"09302019"
"196",7501,211,852096,"023803P8","BlackSlacksP8",9,"09302019"
"197",7501,211,852096,"023805P6","GreenSlacksP6",9,"09302019"
"198",7501,211,852096,"023808P10","PinkSlacksP10",7,"09302019"
"199",7501,211,852096,NA,NA,4,"09302019"
"200",7501,213,852090,"023407P10","PurpleDressP10",4,"09302019"
"201",7501,213,852090,"024202P4","WhiteCasualJacketP4",3,"09302019"
"202",7501,213,852090,"024604P00","BlueCottonTeeP00",8,"09302019"
"203",7501,213,852090,"024202P8","WhiteCasualJacketP8",3,"09302019"
"204",7501,213,852090,"023602P6","WhiteBlouseP6",4,"09302019"
"205",7501,213,852090,"024407P0","PurpleSkirtP0",12,"09302019"
"206",7501,213,852090,"024407P2","PurpleSkirtP2",4,"09302019"
"207",7501,213,852090,"024607P8","PurpleCottonTeeP8",5,"09302019"
"208",7501,213,852090,"023610P8","TanBlouseP8",3,"09302019"
"209",7501,213,852090,"024401P2","RedSkirtP2",3,"09302019"
"210",7501,213,852090,"024401P10","RedSkirtP10",8,"09302019"
"211",7501,226,852073,"023601P10","RedBlouseP10",4,"09302019"
"212",7501,226,852073,"024601P00","RedCottonTeeP00",4,"09302019"
"213",7501,226,852073,NA,NA,15,"09302019"
"214",7501,228,852075,"023407P8","PurpleDressP8",1,"09302019"
"215",7501,228,852075,"023403P10","BlackDressP10",1,"09302019"
"216",7501,228,852075,"024601P00","RedCottonTeeP00",8,"09302019"
"217",7501,228,852075,"024603P00","BlackCottonTeeP00",7,"09302019"
"218",7501,228,852075,"024605P0","GreenCottonTeeP0",1,"09302019"
"219",7501,228,852075,NA,NA,4,"09302019"
"220",7501,303,852081,"023401P10","RedDressP10",5,"09302019"
"221",7501,303,852081,"023410P2","TanDressP2",4,"09302019"
"222",7501,303,852081,"024007P0","PurpleLeggingsP0",9,"09302019"
"223",7501,303,852081,"023403P0","BlackDressP0",4,"09302019"
"224",7501,303,852081,"023403P2","BlackDressP2",2,"09302019"
"225",7501,303,852081,"024008P10","PinkLeggingsP10",17,"09302019"
"226",7501,303,852081,"024009P2","OrangeLeggingsP2",7,"09302019"
"227",7501,303,852081,"024407P6","PurpleSkirtP6",4,"09302019"
"228",7501,303,852081,"023603P10","BlackBlouseP10",4,"09302019"
"229",7501,303,852081,"024408P8","PinkSkirtP8",4,"09302019"
"230",7501,303,852081,"023606P8","YellowBlouseP8",4,"09302019"
"231",7501,303,852081,"023809P2","OrangeSlacksP2",4,"09302019"
"232",7501,303,852081,"023610P0","TanBlouseP0",4,"09302019"
"233",7501,303,852081,"023801P2","RedSlacksP2",4,"09302019"
"234",7501,304,852071,"024407P10","PurpleSkirtP10",11,"09302019"
"235",7501,304,852071,"024409P6","OrangeSkirtP6",4,"09302019"
"236",7501,304,852071,"023602P6","WhiteBlouseP6",4,"09302019"
"237",7501,304,852071,"024410P4","TanSkirtP4",8,"09302019"
"238",7501,304,852071,"024407P2","PurpleSkirtP2",8,"09302019"
"239",7501,304,852071,"024407P4","PurpleSkirtP4",14,"09302019"
"240",7501,304,852071,"024204P6","BlueCasualJacketP6",2,"09302019"
"241",7501,304,852071,"023606P8","YellowBlouseP8",4,"09302019"
"242",7501,304,852071,"024607P6","PurpleCottonTeeP6",4,"09302019"
"243",7501,304,852071,NA,NA,6,"09302019"
"244",7501,304,852071,NA,NA,4,"09302019"
"245",7501,306,852059,"024009P8","OrangeLeggingsP8",9,"09302019"
"246",7501,306,852059,"024210P8","TanCasualJacketP8",4,"09302019"
"247",7501,306,852059,"023405P2","GreenDressP2",11,"09302019"
"248",7501,306,852059,"023405P4","GreenDressP4",4,"09302019"
"249",7501,306,852059,"023407P10","PurpleDressP10",8,"09302019"
"250",7501,306,852059,"023408P0","PinkDressP0",17,"09302019"
"251",7501,306,852059,"023408P6","PinkDressP6",4,"09302019"
"252",7501,306,852059,"024007P0","PurpleLeggingsP0",14,"09302019"
"253",7501,306,852059,"023403P10","BlackDressP10",9,"09302019"
"254",7501,306,852059,"024407P8","PurpleSkirtP8",28,"09302019"
"255",7501,306,852059,"024202P2","WhiteCasualJacketP2",8,"09302019"
"256",7501,306,852059,"024409P6","OrangeSkirtP6",8,"09302019"
"257",7501,306,852059,"024406P10","YellowSkirtP10",10,"09302019"
"258",7501,306,852059,"024407P4","PurpleSkirtP4",16,"09302019"
"259",7501,306,852059,"024603P00","BlackCottonTeeP00",6,"09302019"
"260",7501,306,852059,"023605P10","GreenBlouseP10",4,"09302019"
"261",7501,306,852059,"023606P4","YellowBlouseP4",4,"09302019"
"262",7501,306,852059,"023606P8","YellowBlouseP8",8,"09302019"
"263",7501,306,852059,"024602P10","WhiteCottonTeeP10",8,"09302019"
"264",7501,306,852059,"024201P4","RedCasualJacketP4",2,"09302019"
"265",7501,306,852059,"024205P8","GreenCasualJacketP8",8,"09302019"
"266",7501,306,852059,NA,NA,4,"09302019"
"267",7501,313,852082,"023407P10","PurpleDressP10",8,"09302019"
"268",7501,313,852082,"023604P10","BlueBlouseP10",36,"09302019"
"269",7501,313,852082,"024607P8","PurpleCottonTeeP8",4,"09302019"
"270",7501,313,852082,"023809P4","OrangeSlacksP4",4,"09302019"
"271",7501,313,852082,"024602P6","WhiteCottonTeeP6",4,"09302019"
"272",7501,313,852082,"023808P2","PinkSlacksP2",2,"09302019"
"273",7501,313,852082,"024001P0","RedLeggingsP0",4,"09302019"
"274",7501,313,852082,NA,NA,4,"09302019"
"275",7501,313,852082,NA,NA,8,"09302019"
"276",7501,313,852082,"024003P8","BlackLeggingsP8",4,"09302019"
"277",7501,314,852087,"023410P6","TanDressP6",4,"09302019"
"278",7501,314,852087,"024007P0","PurpleLeggingsP0",15,"09302019"
"279",7501,314,852087,"024407P6","PurpleSkirtP6",4,"09302019"
"280",7501,314,852087,"024407P8","PurpleSkirtP8",17,"09302019"
"281",7501,314,852087,"024604P00","BlueCottonTeeP00",4,"09302019"
"282",7501,314,852087,"024407P0","PurpleSkirtP0",4,"09302019"
"283",7501,314,852087,"024407P4","PurpleSkirtP4",17,"09302019"
"284",7501,314,852087,"023606P2","YellowBlouseP2",3,"09302019"
"285",7501,314,852087,"024606P0","YellowCottonTeeP0",2,"09302019"
"286",7501,314,852087,"023803P4","BlackSlacksP4",2,"09302019"
"287",7501,314,852087,"023807P6","PurpleSlacksP6",12,"09302019"
"288",7501,314,852087,"023808P2","PinkSlacksP2",4,"09302019"
"289",7501,314,852087,"024008P6","PinkLeggingsP6",22,"09302019"
"290",7501,314,852087,NA,NA,20,"09302019"
"291",7501,603,852084,"024009P8","OrangeLeggingsP8",9,"09302019"
"292",7501,603,852084,"023401P0","RedDressP0",4,"09302019"
"293",7501,603,852084,"024210P8","TanCasualJacketP8",4,"09302019"
"294",7501,603,852084,"023405P0","GreenDressP0",12,"09302019"
"295",7501,603,852084,"023405P2","GreenDressP2",5,"09302019"
"296",7501,603,852084,"023407P10","PurpleDressP10",4,"09302019"
"297",7501,603,852084,"023408P0","PinkDressP0",11,"09302019"
"298",7501,603,852084,"023410P6","TanDressP6",4,"09302019"
"299",7501,603,852084,"023403P8","BlackDressP8",8,"09302019"
"300",7501,603,852084,"024407P8","PurpleSkirtP8",27,"09302019"
"301",7501,603,852084,"024408P0","PinkSkirtP0",4,"09302019"
"302",7501,603,852084,"024407P10","PurpleSkirtP10",14,"09302019"
"303",7501,603,852084,"024605P00","GreenCottonTeeP00",2,"09302019"
"304",7501,603,852084,"023603P2","BlackBlouseP2",3,"09302019"
"305",7501,603,852084,"023602P6","WhiteBlouseP6",4,"09302019"
"306",7501,603,852084,"024407P4","PurpleSkirtP4",9,"09302019"
"307",7501,603,852084,"024601P00","RedCottonTeeP00",4,"09302019"
"308",7501,603,852084,"023608P10","PinkBlouseP10",4,"09302019"
"309",7501,603,852084,"024001P10","RedLeggingsP10",4,"09302019"
"310",7501,603,852084,"023809P4","OrangeSlacksP4",6,"09302019"
"311",7501,603,852084,"023610P0","TanBlouseP0",12,"09302019"
"312",7501,603,852084,"023805P6","GreenSlacksP6",9,"09302019"
"313",7501,603,852084,NA,NA,4,"09302019"
"314",7501,603,852084,"024201P8","RedCasualJacketP8",18,"09302019"
"315",7501,603,852084,NA,NA,4,"09302019"
"316",7501,603,852084,"024005P2","GreenLeggingsP2",1,"09302019"
"317",7501,606,852066,"024406P10","YellowSkirtP10",17,"09302019"
"318",7501,606,852066,"024410P8","TanSkirtP8",19,"09302019"
"319",7501,606,852066,"023805P6","GreenSlacksP6",9,"09302019"
"320",7501,606,852066,"024005P2","GreenLeggingsP2",6,"09302019"
"321",7501,611,852077,"024403P10","BlackSkirtP10",4,"09302019"
"322",7501,611,852077,"023408P0","PinkDressP0",12,"09302019"
"323",7501,611,852077,"023410P0","TanDressP0",1,"09302019"
"324",7501,611,852077,"024407P10","PurpleSkirtP10",10,"09302019"
"325",7501,611,852077,"024408P8","PinkSkirtP8",4,"09302019"
"326",7501,611,852077,NA,NA,8,"09302019"
"327",7501,611,852077,"024604P10","BlueCottonTeeP10",4,"09302019"
"328",7501,614,852058,"024009P4","OrangeLeggingsP4",18,"09302019"
"329",7501,614,852058,"024210P10","TanCasualJacketP10",21,"09302019"
"330",7501,614,852058,"023405P0","GreenDressP0",8,"09302019"
"331",7501,614,852058,"023409P2","OrangeDressP2",8,"09302019"
"332",7501,614,852058,"023410P6","TanDressP6",8,"09302019"
"333",7501,614,852058,"024410P8","TanSkirtP8",11,"09302019"
"334",7501,614,852058,"024407P2","PurpleSkirtP2",8,"09302019"
"335",7501,614,852058,"023605P10","GreenBlouseP10",4,"09302019"
"336",7501,614,852058,"023803P8","BlackSlacksP8",9,"09302019"
"337",7501,614,852058,"024003P10","BlackLeggingsP10",12,"09302019"
"338",7501,614,852058,"024004P0","BlueLeggingsP0",9,"09302019"
"339",7501,614,852058,"024003P2","BlackLeggingsP2",20,"09302019"
"340",7501,617,852091,"024009P4","OrangeLeggingsP4",27,"09302019"
"341",7501,617,852091,"024009P10","OrangeLeggingsP10",18,"09302019"
"342",7501,617,852091,"024210P8","TanCasualJacketP8",12,"09302019"
"343",7501,617,852091,"024210P10","TanCasualJacketP10",11,"09302019"
"344",7501,617,852091,"023405P0","GreenDressP0",12,"09302019"
"345",7501,617,852091,"023405P2","GreenDressP2",5,"09302019"
"346",7501,617,852091,"023408P0","PinkDressP0",77,"09302019"
"347",7501,617,852091,"023410P6","TanDressP6",8,"09302019"
"348",7501,617,852091,"024407P8","PurpleSkirtP8",24,"09302019"
"349",7501,617,852091,"023604P6","BlueBlouseP6",4,"09302019"
"350",7501,617,852091,"024202P6","WhiteCasualJacketP6",4,"09302019"
"351",7501,617,852091,"023601P10","RedBlouseP10",4,"09302019"
"352",7501,617,852091,"024408P2","PinkSkirtP2",16,"09302019"
"353",7501,617,852091,"024409P8","OrangeSkirtP8",12,"09302019"
"354",7501,617,852091,"024407P0","PurpleSkirtP0",4,"09302019"
"355",7501,617,852091,"024410P8","TanSkirtP8",7,"09302019"
"356",7501,617,852091,"024601P00","RedCottonTeeP00",8,"09302019"
"357",7501,617,852091,"023607P2","PurpleBlouseP2",4,"09302019"
"358",7501,617,852091,"023605P10","GreenBlouseP10",4,"09302019"
"359",7501,617,852091,"023606P8","YellowBlouseP8",4,"09302019"
"360",7501,617,852091,"023809P6","OrangeSlacksP6",4,"09302019"
"361",7501,617,852091,"023809P10","OrangeSlacksP10",4,"09302019"
"362",7501,617,852091,"023810P2","TanSlacksP2",8,"09302019"
"363",7501,617,852091,"023610P6","TanBlouseP6",8,"09302019"
"364",7501,617,852091,"023806P8","YellowSlacksP8",8,"09302019"
"365",7501,617,852091,"023807P6","PurpleSlacksP6",4,"09302019"
"366",7501,617,852091,"023808P0","PinkSlacksP0",8,"09302019"
"367",7501,617,852091,"024003P10","BlackLeggingsP10",28,"09302019"
"368",7501,617,852091,"024004P0","BlueLeggingsP0",9,"09302019"
"369",7501,617,852091,"024004P2","BlueLeggingsP2",12,"09302019"
"370",7501,617,852091,"024004P4","BlueLeggingsP4",8,"09302019"
"371",7501,617,852091,"024004P8","BlueLeggingsP8",4,"09302019"
"372",7501,617,852091,"024606P00","YellowCottonTeeP00",12,"09302019"
"373",7501,620,852086,"024009P4","OrangeLeggingsP4",18,"09302019"
"374",7501,620,852086,"024210P8","TanCasualJacketP8",4,"09302019"
"375",7501,620,852086,"023403P8","BlackDressP8",20,"09302019"
"376",7501,620,852086,"024407P8","PurpleSkirtP8",30,"09302019"
"377",7501,620,852086,"024409P6","OrangeSkirtP6",6,"09302019"
"378",7501,620,852086,"023602P6","WhiteBlouseP6",4,"09302019"
"379",7501,620,852086,"024410P4","TanSkirtP4",16,"09302019"
"380",7501,620,852086,"024407P4","PurpleSkirtP4",15,"09302019"
"381",7501,620,852086,"024601P00","RedCottonTeeP00",12,"09302019"
"382",7501,620,852086,"024203P6","BlackCasualJacketP6",4,"09302019"
"383",7501,620,852086,"023605P10","GreenBlouseP10",4,"09302019"
"384",7501,620,852086,"023809P2","OrangeSlacksP2",4,"09302019"
"385",7501,620,852086,"023809P4","OrangeSlacksP4",3,"09302019"
"386",7501,620,852086,"023610P10","TanBlouseP10",4,"09302019"
"387",7501,620,852086,"023808P6","PinkSlacksP6",4,"09302019"
"388",7501,620,852086,"023808P10","PinkSlacksP10",20,"09302019"
"389",7501,620,852086,NA,NA,10,"09302019"
"390",7501,620,852086,NA,NA,4,"09302019"
"391",7501,622,852093,"023408P0","PinkDressP0",11,"09302019"
"392",7501,622,852093,"023409P2","OrangeDressP2",4,"09302019"
"393",7501,622,852093,"023602P6","WhiteBlouseP6",4,"09302019"
"394",7501,622,852093,"023601P4","RedBlouseP4",2,"09302019"
"395",7501,622,852093,"023803P8","BlackSlacksP8",9,"09302019"
"396",7501,622,852093,"024004P0","BlueLeggingsP0",9,"09302019"
"397",7501,622,852093,"024205P8","GreenCasualJacketP8",46,"09302019"
"398",7501,622,852093,NA,NA,8,"09302019"
"399",7501,625,852076,"023603P4","BlackBlouseP4",12,"09302019"
"400",7501,625,852076,"023605P8","GreenBlouseP8",1,"09302019"
"401",7501,625,852076,"024406P10","YellowSkirtP10",27,"09302019"
